bibcode;labelDE;name;address - strasse;adresse - nummer;adresse - zusatz;zip;city;country;mail;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfs code;worldcat ja/nein;WorldCat Symbol;CBS Library Code;Verrechnung Kostenbeitrag (Auswahl);Kostenbeitrag basiert auf;Zusage Kostenbeitrag ja/nein;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungsadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Koordinaten;admininstitution bfs code;Kostenbeitrag über Verbund / Zugehörigkeit;Kostenbeitrag über Uni/FH - Uni;Zugehörigkeit Institution;SAP - Name 1 (35 Zeichen);SAP - Name 2 (35 Zeichen);SAP - Name 3 (35 Zeichen);SAP - Name 4 (35 Zeichen)
BLB60;Berufs- und Laufbahnberatung See-Gaster;BIZ Berufs- und Laufbahnberatung See-Gaster;Bahnhofstrasse ;18;;8730;Uznach;ch;info.blbseegaster@sg.ch;;;;;g;;;CHSGL;8093;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;47.2253584, 8.9818022;;;;;BIZ Berufs- und Laufbahnberatung;See-Gaster;;
BLB70;Berufs- und Laufbahnberatung Toggenburg;BIZ Berufs- und Laufbahnberatung Toggenburg;Bahnhofstrasse ;32;;9630;Wattwil;ch;info.blbtoggenburg@sg.ch;;;;;g;;;CHSGL;8093;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;47.2976357, 9.0907967;;;;;BIZ Berufs- und Laufbahnberatung;Toggenburg;;
BLB90;Berufs- und Laufbahnberatung Wil;BIZ Berufs- und Laufbahnberatung Wil;Obere Bahnhofstrasse ;20;;9500;Wil;ch;info.blbwil@sg.ch;;;;;g;;;CHSGL;8093;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;47.4647159, 9.0433472;;;;;BIZ Berufs- und Laufbahnberatung;Will;;
blonay;Bibliothèque de Blonay - St-Légier;BIBLIOTHÈQUES SCOLAIRES VAUDOISES DGEO  Bibliothèque de Blonay - St-Légier;Chemin de Bahyse ;2;;1807;Blonay;ch;;Sala;Gaël;Frau;gael.sala@mabibliotheque.ch;f;;nein;;;direkt;Anzahl Aufnahmen;nein;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque de Blonay - St-Légier;;;
BNM;Bündner Natur-Museum, Chur;Bündner Natur-Museum (BNM);Masanserstr. ;31;;7000;Chur;ch;bibliothek@bnm.gr.ch;;;;;g;;;CHKBG;8094;Über Institution;Anzahl Aufnahmen;ja;50;100;100;;;;;;;;;;;;;;ja;;;;46.8542599, 9.5342834;;BGR;;BGRKB;;;;
bogis;Bibliothèque scolaire et intercommunale de Terre Sainte, Chavannes-de-Bogis;Bibliothèque scolaire et intercommunale de Terre Sainte, Chavannes-de-Bogis;Chemin du Collège;;;1279;Chavannes-de-Bogis;ch;bibliocoppet@gmail.com;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U6555;;BIBTS;BIBTS;;;;
BORIS;BORIS - Bern Open Repository and Information System;BORIS - Bern Open Repository and Information System;Muesmattstr. ;27;;3012;Bern;ch;boris@ub.unibe.ch;;;;;g;;nein;;;Keine Verrechnung;;;0;0;0;;;;;;;;;;;;;;;;;;46.952613, 7.4283537;;;;;;;;
bpul;CHUV - Bibliothèque psychiatrique universitaire de Lausanne, Prilly;CHUV-Bibliothèque psychiatrique universitaire de Lausanne (Cery) (BPUL) (CHUV-BPUL);Route de Cery;;;1008;Prilly-Lausanne;ch;bpul@chuv.ch;Rosselet Amoussou;Joëlle;Frau;Joelle.Rosselet@chuv.ch;f;;nein;;;direkt;Anzahl Aufnahmen;nein;125;250;250;;ja;;;;;;;;;;;;nein;BFK;nein;;;;;;;Bibliothèque psychiatrique univ.;de Lausanne (CHUV-BPUL);;
bpy;Bibliothèque publique d'Yverdon-les-Bains; Bibliothèque Publique d'Yverdon-les-Bains;Rue de l'Ancienne-Poste ;4;;1401;Yverdon-les-Bains;ch;biblio@yverdon-les-bains.ch;Reid;Juliette;Frau;?juliette.reid@yverdon-les-bains.ch? ;f;U4057;nein;;;direkt;Anzahl Aufnahmen;offen;50;100;100; nur historischer Bestand ist in swissbib, daher Berechnung als Pauschale statt nach BfS;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque Publique;d'Yverdon-les-Bains;;
BSSBI;Basel Externes Magazin;Basel Externes Magazin;Grabmattenstrasse ;15;;6233;Büron;ch;;;;;;g;;;ESW;8001;Über Institution;;;0;0;0;Anzahl Aufnahmen bei A342 mit berechnet;;;;;;;;;;;;;;;;;;verrechnet mit A342;;;;;;;
BSSBK;Kooperative Speicherbibliothek Schweiz, Büron;Kooperative Speicherbibliothek Schweiz;Grabmattenstrasse ;15;;6233;Büron;ch;;;;;;g;;;ESW;8001;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
buss;Bibliothèque scolaire et communale de Bussigny et Villars-Sainte-Croix;Bibliothèque scolaire et communale de Bussigny;Rue des Collèges;2 bis;;1030;Bussigny;ch;bibliotheque@bussigny.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque scolaire et communale;de Bussigny;;
BVB;Bündner Volksbibliothek, Chur (-x);Bündner Volksbibliothek;Arcas ;1;;7000;Chur;ch;volksbibliothek.chur@spin.ch;;;;;g;;;CHKBG;8094;Keine Verrechnung;;;;;;0 Treffer;;;;;;;;;;;;;;;;;46.847871, 9.5319616;;;;;;;;
BVU;Departement Bau, Verkehr und Umwelt, Aarau;Kanton Aargau, Departement Bau, Verkehr und Umwelt;Entfelderstrasse ;22;;5001;Aarau;ch;bvu@ag.ch;;;;;g;;;CHAKB;8095;Über Institution;Anzahl Aufnahmen;ja;75;150;150;;;;;;;;;;;;;;ja;;;;47.3874345, 8.0494995;;ABN;;ABNKB;;;;
BWO;Bundesamt für Wohnungswesen, Grenchen;Bundesamt für Wohnungswesen BWO;Storchengasse ;6;;2540;Grenchen;ch;info@bwo.admin.ch;;;;;g;;nein;;;Über Institution;Anzahl Aufnahmen;ja;50;100;100;;;;;;;;;;;;;;ja;;;;47.1912313, 7.3973273;;Alexandria;;ALEXKB;;;;
BZAST;Archivio di Stato, Bellinzona;Archivio di Stato;Viale S. Franscini;30a;;6501;Bellinzona;ch;decs-asti@ti.ch;Carmine;Mauro;Herr;mauro.carmine@ti.ch;i;;;CHSBT;8023;direkt;Anzahl Aufnahmen;offen;150;300;300;;ja;;;;;;;;;;;;ja;;nein;;46.1930586, 9.0127199;;;;;Archivio di Stato;;;
BZBC;Biblioteca cantonale Bellinzona;Biblioteca cantonale Bellinzona;Viale S. Franscini;30a;;6501;Bellinzona;ch;bcb-segr.sbt@ti.ch;;;;;i;U4011;;CHSBT;8023;direkt;BfS-Zahlen;ja;1001;2001;2001;;ja;;;;;;;;;;;;ja;;nein;;46.1930586, 9.0127199;;;;;Biblioteca cantonale Bellinzona;;;
BZCDE;Centro di dialettologia e di etnografia, Bellinzona;Centro di dialettologia e di etnografia;Viale S. Franscini;30a;;6500;Bellinzona;ch;decs-cde@ti.ch;Dellamonica;Davide;Herr;Davide.Dellamonica@ti.ch;i;;;CHSBT;8023;direkt;Anzahl Aufnahmen;ja;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;46.1930586, 9.0127199;;;;;Centro di dialettologia;e di etnografia;;
BZCDS;Biblioteca cantonale Bellinzona;Biblioteca cantonale Bellinzona;Viale S. Franscini;30a;;6501;Bellinzona;ch;bcb-segr.sbt@ti.ch;;;;;i;;;CHSBT;8023;Über Leitbibliothek;;;;;;;;;;;;;;;;;;;;;;;46.1930586, 9.0127199;;;;;;;;
BZCLD;Ufficio della documentazione, Bellinzona;Ufficio della documentazione;Piazza Governo;;;6501;Bellinzona;ch;can-cld@ti.ch;;;;;i;;;CHSBT;8023;direkt;Anzahl Aufnahmen;offen;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;46.1913401, 9.0207765;;;;;Ufficio della documentazione;;;
BZGSF;BZGS Höhere Fachschule, St. Gallen;BZGS Höhere Fachschule, St. Gallen;Grütlistrasse ;1;;9016;St. Gallen;ch;;;;;;g;;;CHSGL;8093;Über Institution;Anzahl Aufnahmen;;;;;;;;;;;;;;;;;;ja;;;;47.4349657, 9.4029629;;;;BZGS;;;;
BZGSG;BZGS Grundbildung, St. Gallen;BZGS Grundbildung, St. Gallen;Lindenstrasse ;139;;9016;St. Gallen;ch;;;;;;g;;;CHSGL;8093;Über Institution;Anzahl Aufnahmen;;;;;;;;;;;;;;;;;;ja;;;;47.4374648, 9.4020208;;;;BZGS;;;;
BZSTA;Centro di informazione e documentazione statistica, Bellinzona;Centro di informazione e documentazione statistica CIDS;Via Bellinzona ;31;;6512;Giubiasco;ch;dfe-ustat.cids@ti.ch;;;;;i;;;CHSBT;8023;direkt;Anzahl Aufnahmen;offen;75;150;150;;ja;;;;;;;;;;;;ja;;nein;;46.1780602, 9.0136785;;;;;Centro di informazione;e documentazione statistica CIDS;;
BZVDC;Museo Villa dei cedri, Bellinzona;Biblioteca del Museo Villa dei Cedri;piazza San Biagio ;9;;6500;Bellinzona;ch;museo@villacedri.ch;;;;;i;;;CHSBT;8023;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;46.18451, 9.020703;;;;;Museo Villa die Cedri;Biblioteca;;
C001;IDS Basel Bern - Bibliothek fehlt;IDS Basel Bern;;;;;;ch;;;;;;g;;;CHDSB;9901;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C002;IDS Luzern - Bibliothek fehlt;IDS Luzern;;;;;;ch;;;;;;g;;;CHSLU;9902;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C003;IDS St. Gallen - Bibliothek fehlt;IDS St. Gallen;;;;;;ch;;;;;;g;;;H9G;8063;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C005;St. Galler Bibliotheksnetz - Bibliothek fehlt;St. Galler Bibliotheksnetz;;;;;;ch;;;;;;g;;;CHSGL;8093;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C006;Sistema Bibliotecario Ticinese - Bibliothek fehlt;Sistema Bibliotecario Ticinese;;;;;;ch;;;;;;i;;;CHSBT;8023;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C007;Bibliotheksverbund Graubünden - Bibliothek fehlt;Bibliotheksverbund Graubünden;;;;;;ch;;;;;;g;;;CHBGA;9907;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C008;Aargauer Bibliotheksnetz - Bibliothek fehlt;Bibliotheksnetz ABN;;;;;;ch;;;;;;g;;;CHABN;9908;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C009;NEBIS - Bibliothek fehlt;NEBIS;;;;;;ch;;;;;;g;;;CHBIS;9909;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C010;Liechtensteinische Bibliotheken - Bibliothek fehlt;Liechtensteinische Bibliotheken;;;;;;ch;;;;;;g;;;LIBIB;8098;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHARCH01;Graphische Sammlung, NB Bern;Schweizerische Nationalbibliothek, Grafische Sammlung;Hallwylstrasse ;15;;3003;Bern;ch;graphische-sammlung@nb.admin.ch;;;;;g;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.9413136, 7.4496912;U1001;;SNL;SNL;;;;
CHARCH02;Schweizerisches Literaturarchiv, NB Bern;Schweizerisches Literaturarchiv (SLA);Hallwylstrasse ;15;;3003;Bern;ch;arch.lit@nb.admin.ch;;;;;g;;nein;;;Über Institution;BfS-Zahlen;offen;0;0;0;;;;;;;;;;;;;;;;;;46.9413136, 7.4496912;U1001;;SNL;SNL;;;;
CHARCH03;Spezialsammlungen, NB Bern;Schweizerische Nationalbibliothek, Spezialsammlungen;Hallwylstrasse ;15;;3003;Bern;ch;graphische-sammlung@nb.admin.ch;;;;;g;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U1001;;SNL;SNL;;;;
CHARCH04;Centre Dürrenmatt Neuchâtel ;Centre Dürrenmatt Neuchâtel;Pertuis-du-Sault ;74;;2000;Neuchâtel;ch;cdn@nb.admin.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;47.001215, 6.9365302;;;;;Centre Dürrenmatt Neuchâtel;;;
chatoex;Bibliothèques ES Pays-d'Enhaut, Château-d'Oex;Bibliothèques de l'Etablissement scolaire du Pays-d'Enhaut;Grand Rue ;75;;1660;Château-d'Oex;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U6552;;BIBPDE;BIBPDE;;;;
CHBCO;Biblioteca comunale, Chiasso;Biblioteca comunale;Via Alfonso Turconi ;3;;6830;Chiasso;ch;biblioteca@chiasso.ch;Torriani;Augusto;Herr;augusto.torriani@chiasso.ch;i;;;CHSBT;8023;direkt;Anzahl Aufnahmen;ja;200;400;400;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Biblioteca comunale;;;
ches;Bibliothèque scolaire et publique de Cheseaux-sur-Lausanne;Bibliothèque scolaire de l'établissement de la Chamberonne (DGEO-Cheseaux);Ch. Derrière-la-Ville ;3;;1033;Cheseaux-sur-Lausanne;ch;bibliotheque@chamberonne.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque scolaire de; l'établissement de la Chamberonne;;
CHSBK;Kooperative Speicherbibliothek Schweiz, Büron;Kooperative Speicherbibliothek Schweiz;Grabmattenstrasse ;15;;6233;Büron;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cio;Centre d'Etudes Olympiques du CIO, Lausanne;Centre d'Etudes Olympiques du CIO;Quai d'Ouchy ;1;;1001;Lausanne;ch;;;;;;f;;nein;;;Keine Verrechnung;;;0;0;0;Zum Zeitpunkt der Ausarbeitung Kostenbeiträge aus Renouvaud wieder ausgetreten;;;;;;;;;;;;;;;;;;nicht verrechnen, sind im Moment nicht mehr enthalten;;;;;;;
cmc;Centre mondial du cyclisme, Aigle; Centre mondial du cyclisme;Route industrielle;;;1860;Aigle;ch;cmc@uci.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;nein;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;;;;;; Centre mondial du cyclisme;;;
CNS-FAO;Schweizerisches nationales FAO Komitee, Bern;;Mattenhofstrasse ;5;;3003;Bern;ch;;;;;;g;;nein;;;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;;;;;;;;;;;;;ja;;;;46.9424202, 7.4325647;;Alexandria;;ALEXKB;;;;
coppet;Bibliothèque scolaire et intercommunale de Terre Sainte, Coppet;Bibliothèque scolaire et intercommunale de Terre Sainte (Coppet);Rte de Founex ;31;;1296;Coppet;ch;bibliocoppet@gmail.com;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U6555;;BIBTS;BIBTS;;;;
corsier;Bibliothèque scolaire de Corsier;  BIBLIOTHÈQUES SCOLAIRES VAUDOISES DGEO  Collège de Corsier;Rue du Collège ;7;;1804;Corsier-sur-Vevey;ch;bibliotheque@corsier.educanet2.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Collège de Corsier;Bibliothèque scolaire;;
coss;Bibliothèque scolaire ES Cossonay-Penthalaz;Médiathèque scolaire de Cossonay;Pré aux Moines ;5;;1304;Cossonay;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U6557;;BIBCOS;BIBCOS;;;;
crass;Bibliothèque scolaire ESEP, Crassier;Bibliothèque scolaire ESEP, Crassier;Rue de la Tour ;55;;1263;Crassier;ch;bibliotheque@esep.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque scolaire ESEP;;;
criss;Bibliothèque scolaire Crissier;Bibliothèque scolaire Crissier;Rte de Marcolet ;42;;1023;Crissier;ch;bibliotheque@epscrissier.educanet2.ch;;;;;f;U6559;nein;;;direkt;BfS-Zahlen;offen;83;166;166;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque scolaire Crissier;;;
croix;Bibliothèque publique et scolaire de Sainte-Croix;  BIBLIOTHÈQUES SCOLAIRES VAUDOISES DGEO  Bibliothèque publique et scolaire de Sainte-Croix;Rue de l'Industrie ;15;;1450;Sainte-Croix;ch;biblioepssc@bluewin.ch;;;;;f;;nein;;;direkt;Anzahl Aufnahmen;offen;100;200;200;;ja;;;;;;;;;;;;ja;;nein;;;;;;;Bibliothèque publique et scolaire;de Sainte-Croix;;
CS003;BPU Neuchâtel - Collection d'affiches;Bibliothèque publique et universitaire, Neuchâtel;Place Numa-Droz ;3;;2000;Neuchâtel;ch;Secretariat.Bpu@unine.ch;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.9900645, 6.9312449;U2010;;UNINE;UNINE;;;;
CS004;Mediathek Wallis - Plakatsammlung, Sitten;Mediathek Wallis Sitten;Avenue de Pratifori ;18;;1950;Sion;ch;mediatheque-valais-sion@admin.vs.ch;Valterio Barras;Romaine;Frau;romaine.valterio-barras@admin.vs.ch;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.2307816, 7.3555312;U4045;;MEDVAL;MEDVAL;;;;
CS006;Verkehrshaus der Schweiz - Plakatsammlung, Luzern;Verkehrshaus der Schweiz;Lidostrasse ;5;;6006;Luzern;ch;mail@verkehrshaus.ch;;;;;g;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;47.0525287, 8.3355776;;;;;Verkehrshaus der Schweiz;;;
CS007;Bibliothèque musicale de la Ville de Genève - Collection d'affiches;Bibliothèque musicale de la Ville de Genève;Rue du Général-Dufour ;16;;1204;Genève;ch;bmus@ville-ge.ch;;;;direction.bge@ville-ge.ch;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.2011065, 6.1416327;U4099;;BIBGE;BIBGE;;;;
CS008;BCU Fribourg - Plakatsammlung;Kantons- und Universitätsbibliothek Freiburg;Rue Joseph-Piller ;2;;1701;Fribourg;ch;bcu@fr.ch;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.8065509, 7.1559955;U2003;;UNIFR;UNIFR;;;;
CS009;Abbaye de St-Maurice - Collection d'affiches;La bibliothèque de l'Abbaye;Av. d'Agaune ;15;;1890;St-Maurice;ch;;;;;;f;;nein;;;Über Institution;;;0;0;0;;;;;;;;;;;;;;;;;;46.2195915, 7.00385;verrechnet mit Abbaye St Maurice;;ABSM;ABSM;;;;
CS010;Cinémathèque Suisse - Collection d'affiches, Lausanne;Cinémathèque suisse;Casino de Montbenon ;C.P. 5556;;1002;Lausanne;ch;info@cinematheque.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;46.5196535, 6.6322734;;;;;Cinémathèque suisse;;;
CS011;Kantonsbibliothek Nidwalden - Plakatsammlung, Stans;Kantonsbibliothek Nidwalden;Engelbergstrasse ;34;;6371;Stans;ch;kantonsbibliothek@nw.ch;Dönni-Durrer;Brigitte;Frau;brigitte.doenni@nw.ch;g;;nein;;;direkt;Freiwilliger Beitrag;ja;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;46.9566597, 8.3697735;;;;;Kantonsbibliothek Nidwalden;;;
CS020;Schweizerische Nationalbibliothek (NB) - Graphische Sammlung, Bern;Schweizerische Nationalbibliothek NB, Graphische Sammlung;Hallwylstrasse ;15;;3003;Bern;ch;info@nb.admin.ch;;;;;g;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.9413136, 7.4496912;U1001;;SNL;SNL;;;;
CS100;Bibliothèque de Genève - Collection d'affiches;Bibliothèque de Genève;Promenade des Bastions ;1;;1211;Genève;ch;info.bge@ville-ge.ch;;;;direction.bge@ville-ge.ch;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.2007355, 6.1445828;U4099;;BIBGE;BIBGE;;;;
CS999;Schweizer Plakatsammlung - Bibliothek fehlt;Schweizer Plakatsammlung;;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
curml;CHUV - Médecine légale (CURML), Lausanne;CHUV - Centre universitaire romand de médecine légale, Lausanne;Rue du Bugnon ;21;;1005;Lausanne;ch;curml.central@chuv.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;nein;BFK;nein;;;;;;;CHUV - CURML;;;
DBD;Dokumentationsbibliothek Davos;Bibliothek Davos, Dokumentationsbibliothek (DBD);Promenade ;88;;7270;Davos Platz;ch;;;;;;g;;;CHKBG;8094;Über Institution;Anzahl Aufnahmen;ja;50;100;100;;;;;;;;;;;;;;ja;;;;46.8012245, 9.8292924;;BGR;;BGRKB;;;;
DPA;Denkmalpflege Aargau, Aarau;Denkmalpflege Aargau, Aarau;Bachstrasse ;15;;5001;Aarau;ch;denkmalpflege@ag.ch;;;;;g;;;CHAKB;8095;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;;;;;;;;;;;;;ja;;;;47.3900547, 8.0473616;;ABN;;ABNKB;;;;
DPF;Amt für Denkmalpflege Thurgau, Frauenfeld;Amt für Denkmalpflege Thurgau;Ringstrasse ;16;;8510;Frauenfeld;ch;denkmalpflege@tg.ch;;;;;g;;nein;;;Über Institution;;ja;75;150;150;;;;;;;;;;;;;;;;;;;;;;KBTG;;;;
DPG;Kantonale Denkmalpflege, Chur;Kantonale Denkmalpflege (DPG);Loëstr. ;14;;7000;Chur;ch;info@dpg.gr.ch;;;;;g;;;CHKBG;8094;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;;;;;;;;;;;;;ja;;;;46.853863, 9.5377455;;BGR;;BGRKB;;;;
droit;Uni Lausanne - Droit international;Institut d'études du droit international (Uni. Droit Inst. droit international);Bâtiment Internef;;;1015;Lausanne;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;;U2005;;UNIL;UNIL;;;;
E01;ETH Zürich;Eidgenössische Technische Hochschule;Rämistrasse ;101;;8092;Zürich;ch;info@library.ethz.ch;;;;;g;;;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.3765359, 8.5480928;U2012;;ETH;ETH;;;;
E02;EPFL Lausanne;Bibliothèque de l'EPFL;Rolex Learning Center, Station ;20;;1015;Lausanne;ch;questions.bib@epfl.ch;;;;;f;;;EPFLB;8041;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;46.5196535, 6.6322734;U2006;;EPFL;EPFL;;;;
E03;ETH Zürich - Baubibliothek; ETH-Bibliothek Zürich - Baubibliothek;Wolfgang-Pauli-Strasse ;15;;8093;Zürich;ch;;;;;;g;;;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.4083349, 8.5069345;U2012;;ETH;ETH;;;;
E04;ETH Zürich - Erdwissenschaften;ETH Zürich - Bibliothek Erdwissenschaften;Sonneggstrasse;5;NO D25;8092;Zürich;ch;erdw@library.ethz.ch;;;;;g;;;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.3785776, 8.5472187;U2012;;ETH;ETH;;;;
E05;ETH Zürich - Grüne Bibliothek;ETH Zürich - Grüne Bibliothek;Universitätsstrasse ;16;CHN H 43;8092;Zürich;ch;gruene_bibliothek@library.ethz.ch;;;;;g;;;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.3768866, 8.541694;U2012;;ETH;ETH;;;;
E06;ETH Zürich - GESS-Bibliothek;ETH Zürich - GESS-Bibliothek;Haldeneggsteig ;4;IFW B 35;8092;Zürich;ch;gessbib@library.ethz.ch;;;;;g;;;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.3768866, 8.541694;U2012;;ETH;ETH;;;;
E07;NTB Interstaatliche Hochschule für Technik Buchs;NTB Interstaatliche Hochschule für Technik Buchs;Werdenbergstrasse ;4;;9471;Buchs;ch;bibliothek@ntb.ch;Brunschwiler;Susanne;Frau;susanne.brunschwiler@ntb.ch;g;U5003_104;;CHHTW;8042;direkt;BfS-Zahlen;ja;183;366;366;;ja;;;;;;;;;;;;nein;BFK;nein;;47.1727553, 9.4735565;;;;;Interstaatliche Hochschule;für Technik;;
E08;Lib4RI - PSI, Villigen;Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;WHGA;012;;5232;Villigen;ch;info@lib4ri.ch;Nunnenmacher;Lothar;Herr;Lothar.Nunnenmacher@lib4ri.ch;g;;;CH4RI;8043;direkt;Anzahl Aufnahmen;ja;200;400;400;;ja;;;;;;;;;;;;nein;BFK;nein;;47.5381456, 8.2228533;;;;;Lib4RI;;;
E09;ETH Zürich - Physik-Bibliothek;ETH Zürich Physikbibliothek;Wolfgang-Pauli-Str. , HIT E ;27;HIT E 12;8093;Zürich;ch;library@phys.ethz.ch;;;;;g;;;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.3768866, 8.541694;U2012;;ETH;ETH;;;;
E10;Lib4RI - WSL, Birmensdorf;Lib4RI: Eawag-Empa;Zürcherstrasse ;111;;8600;Birmensdorf;ch;info@lib4ri.ch;Nunnenmacher;Lothar;Herr;Lothar.Nunnenmacher@lib4ri.ch;g;;;CH4RI;8043;direkt;Anzahl Aufnahmen;ja;250;500;500;;ja;;;;;;;;;;;;nein;BFK;nein;;47.3605576, 8.4546128;;;;;Lib4RI;;;
E16;ETH Zürich - Bibliothek HDB; ETH-Bibliothek HDB;Schafmattstrasse ;13;;8093;Zürich;ch;hdb@library.ethz.ch;;;;;g;;;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;;;;;;;;;;;;;;;;;47.4108951, 8.5113937;U2012;;ETH;ETH;;;;
