bibcode;labelDE;name;address - strasse;adresse - nummer;adresse - zusatz;zip;city;country;mail;kontakt - name;kontakt - vorname;kontakt - anrede;kontakt - email;korrespondenzsprache;bfs code;worldcat ja/nein;WorldCat Symbol;CBS Library Code;Verrechnung Kostenbeitrag (Auswahl);Kostenbeitrag basiert auf;Zusage Kostenbeitrag ja/nein;Beitrag 2018;Beitrag 2019;Beitrag 2020;Bemerkung Kostenbeitrag;Rechnungsadresse = Postadresse ja/nein;Rechnungsadresse - name;Rechnungsadresse - strasse;Rechnungsadresse - nummer;Rechnungsadresse - zusatz;Rechnungsadresse - plz;Rechnungsadresse - ort;Rechnungsadresse - country;Kontakt Rechnung - Name;Kontakt Rechnung - Vorname;Kontakt Rechnung - Anrede;Kontakt Rechnung - mail;mwst ja/nein;Grund Mehrwertsteuerbefreiung;e-rechnung ja/nein;Bemerkung Rechnungsstellung;Koordinaten
CS007;Bibliothèque musicale de la Ville de Genève - Collection d'affiches;Bibliothèque musicale de la Ville de Genève;Rue du Général-Dufour ;16;;1204;Genève;ch;bmus@ville-ge.ch;;;;direction.bge@ville-ge.ch;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.2011065, 6.1416327
CS008;BCU Fribourg - Plakatsammlung;Kantons- und Universitätsbibliothek Freiburg;Rue Joseph-Piller ;2;;1701;Fribourg;ch;bcu@fr.ch;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.8065509, 7.1559955
CS009;Abbaye de St-Maurice - Collection d'affiches;La bibliothèque de l'Abbaye;Av. d'Agaune ;15;;1890;St-Maurice;ch;;;;;;f;;nein;;;Über Institution;;;0;0;0;;ja;;;;;;;;;;;;;;;;46.2195915, 7.00385
CS010;Cinémathèque Suisse - Collection d'affiches, Lausanne;Cinémathèque suisse;Casino de Montbenon ;C.P. 5556;;1002;Lausanne;ch;info@cinematheque.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;ja;;nein;;46.5196535, 6.6322734
CS011;Kantonsbibliothek Nidwalden - Plakatsammlung, Stans;Kantonsbibliothek Nidwalden;Engelbergstrasse ;34;;6371;Stans;ch;kantonsbibliothek@nw.ch;Dönni-Durrer;Brigitte;Frau;brigitte.doenni@nw.ch;g;;nein;;;direkt;Freiwilliger Beitrag;ja;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;46.9566597, 8.3697735
CS020;Schweizerische Nationalbibliothek (NB) - Graphische Sammlung, Bern;Schweizerische Nationalbibliothek NB, Graphische Sammlung;Hallwylstrasse ;15;;3003;Bern;ch;info@nb.admin.ch;;;;;g;;nein;;;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.9413136, 7.4496912
CS100;Bibliothèque de Genève - Collection d'affiches;Bibliothèque de Genève;Promenade des Bastions ;1;;1211;Genève;ch;info.bge@ville-ge.ch;;;;direction.bge@ville-ge.ch;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.2007355, 6.1445828
CS999;Schweizer Plakatsammlung - Bibliothek fehlt;Schweizer Plakatsammlung;;;;;;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;ja;;;;;;;;;;;;;;;;
curml;CHUV - Médecine légale (CURML), Lausanne;CHUV - Centre universitaire romand de médecine légale, Lausanne;Rue du Bugnon ;21;;1005;Lausanne;ch;curml.central@chuv.ch;;;;;f;;nein;;;direkt;Freiwilliger Beitrag;offen;0;0;0;;ja;;;;;;;;;;;;nein;BFK;nein;;
DBD;Dokumentationsbibliothek Davos;Bibliothek Davos, Dokumentationsbibliothek (DBD);Promenade ;88;;7270;Davos Platz;ch;;;;;;g;;ja;CHKBG;8094;Über Institution;Anzahl Aufnahmen;ja;50;100;100;;ja;;;;;;;;;;;;ja;;;;46.8012245, 9.8292924
DPA;Denkmalpflege Aargau, Aarau;Denkmalpflege Aargau, Aarau;Bachstrasse ;15;;5001;Aarau;ch;denkmalpflege@ag.ch;;;;;g;;ja;CHAKB;8095;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;ja;;;;;;;;;;;;ja;;;;47.3900547, 8.0473616
DPF;Amt für Denkmalpflege Thurgau, Frauenfeld;Amt für Denkmalpflege Thurgau;Ringstrasse ;16;;8510;Frauenfeld;ch;denkmalpflege@tg.ch;;;;;g;;nein;;;Über Institution;;ja;75;150;150;;ja;;;;;;;;;;;;;;;;
DPG;Kantonale Denkmalpflege, Chur;Kantonale Denkmalpflege (DPG);Loëstr. ;14;;7000;Chur;ch;info@dpg.gr.ch;;;;;g;;ja;CHKBG;8094;Über Institution;Freiwilliger Beitrag;ja;0;0;0;;ja;;;;;;;;;;;;ja;;;;46.853863, 9.5377455
droit;Uni Lausanne - Droit international;Institut d'études du droit international (Uni. Droit Inst. droit international);Bâtiment Internef;;;1015;Lausanne;ch;;;;;;f;;nein;;;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
E01;ETH Zürich;Eidgenössische Technische Hochschule;Rämistrasse ;101;;8092;Zürich;ch;info@library.ethz.ch;;;;;g;;ja;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3765359, 8.5480928
E02;EPFL Lausanne;Bibliothèque de l'EPFL;Rolex Learning Center, Station ;20;;1015;Lausanne;ch;questions.bib@epfl.ch;;;;;f;;ja;EPFLB;8041;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.5196535, 6.6322734
E03;ETH Zürich - Baubibliothek; ETH-Bibliothek Zürich - Baubibliothek;Wolfgang-Pauli-Strasse ;15;;8093;Zürich;ch;;;;;;g;;ja;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.4083349, 8.5069345
E04;ETH Zürich - Erdwissenschaften;ETH Zürich - Bibliothek Erdwissenschaften;Sonneggstrasse;5;NO D25;8092;Zürich;ch;erdw@library.ethz.ch;;;;;g;;ja;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3785776, 8.5472187
E05;ETH Zürich - Grüne Bibliothek;ETH Zürich - Grüne Bibliothek;Universitätsstrasse ;16;CHN H 43;8092;Zürich;ch;gruene_bibliothek@library.ethz.ch;;;;;g;;ja;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3768866, 8.541694
E06;ETH Zürich - GESS-Bibliothek;ETH Zürich - GESS-Bibliothek;Haldeneggsteig ;4;IFW B 35;8092;Zürich;ch;gessbib@library.ethz.ch;;;;;g;;ja;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3768866, 8.541694
E07;NTB Interstaatliche Hochschule für Technik Buchs;NTB Interstaatliche Hochschule für Technik Buchs;Werdenbergstrasse ;4;;9471;Buchs;ch;bibliothek@ntb.ch;Brunschwiler;Susanne;Frau;susanne.brunschwiler@ntb.ch;g;U5003_104;ja;CHHTW;8042;direkt;BfS-Zahlen;ja;183;366;366;;ja;;;;;;;;;;;;nein;BFK;nein;;47.1727553, 9.4735565
E08;Lib4RI - PSI, Villigen;Library for the Research Institutes within the ETH Domain: Eawag, Empa, PSI & WSL;WHGA;012;;5232;Villigen;ch;info@lib4ri.ch;Nunnenmacher;Lothar;Herr;Lothar.Nunnenmacher@lib4ri.ch;g;;ja;CH4RI;8043;direkt;Anzahl Aufnahmen;ja;200;400;400;;ja;;;;;;;;;;;;nein;BFK;nein;;47.5381456, 8.2228533
E09;ETH Zürich - Physik-Bibliothek;ETH Zürich Physikbibliothek;Wolfgang-Pauli-Str.;27;HIT E 12;8093;Zürich;ch;library@phys.ethz.ch;;;;;g;;ja;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3768866, 8.541694
E10;Lib4RI - WSL, Birmensdorf;Lib4RI: Eawag-Empa;Zürcherstrasse ;111;;8600;Birmensdorf;ch;info@lib4ri.ch;Nunnenmacher;Lothar;Herr;Lothar.Nunnenmacher@lib4ri.ch;g;;ja;CH4RI;8043;direkt;Anzahl Aufnahmen;ja;250;500;500;;ja;;;;;;;;;;;;nein;BFK;nein;;47.3605576, 8.4546128
E16;ETH Zürich - Bibliothek HDB; ETH-Bibliothek HDB;Schafmattstrasse ;13;;8093;Zürich;ch;hdb@library.ethz.ch;;;;;g;;ja;ETHBI;8040;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.4108951, 8.5113937
E17;Lib4RI - Eawag-Empa, Dübendorf;Lib4RI - Eawag-Empa, Dübendorf;Überlandstrasse ;133;;8600;Dübendorf;ch;info@lib4ri.ch;Nunnenmacher;Lothar;Herr;Lothar.Nunnenmacher@lib4ri.ch;g;;ja;CH4RI;8043;direkt;Anzahl Aufnahmen;ja;450;900;900;;ja;;;;;;;;;;;;nein;BFK;nein;;47.4048301, 8.6096666
E18;ETH Zürich - GESS-Bibliothek; GESS-Bibliothek;Haldeneggsteig ;4;;8092;Zürich;ch;gessbib@library.ethz.ch;;;;;g;;ja;ETHKN;8044;Über Leitbibliothek;;;;;;;ja;;;;;;;;;;;;;;;;47.3803892, 8.5445045
E19;Schweizerisches Sozialarchiv, Zürich;Schweizerisches Sozialarchiv, Zürich;Stadelhoferstrasse ;12;;8001;Zürich;ch;kontakt@sozialarchiv.ch;Koller;Christian;Herr;koller@sozarch.uzh.ch;g;;ja;CHSOZ;8045;direkt;recherchierte BfS-Zahlen;ja;1389;2778;2778;;ja;;;;;;;;;;;;ja;;nein;;47.366825, 8.5475262
E20;Schweizerisches Institut für Kunstwissenschaft, Zürich;Schweizerisches Institut für Kunstwissenschaft, Zürich;Zollikerstrasse ;32;;8032;Zürich;ch;sik@sik-isea.ch;Fischer;Regula;Frau;regula.fischer@sik-isea.ch;g;;ja;CHKUN;8046;direkt;recherchierte BfS-Zahlen;ja;530;1059;1059;;ja;;;;;;;;;;;;ja;;nein;;47.3622916, 8.5551808
E21;Agroscope - Avenches, Liebefeld, Posieux;Bibliothek Agroscope;Standorte: Avenches, Liebefeld, Posieux;;;;;ch;;De la Combaz;Monique;Frau;monique.delacombaz@agroscope.admin.ch;f;;ja;CHFRA;8047;direkt;Anzahl Aufnahmen;offen;125;250;250;;ja;;;;;;;;;;;;ja;;nein;;
E22;ETH Zürich - Denkmalpflege und Bauforschung;ETH Zürich - Institut für Denkmalpflege und Bauforschung, Zürich;Wolfgang-Pauli-Str. ;27;;8093;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Institution;;;;;;;ja;;;;;;;;;;;;;;;;47.4102282, 8.5084168
E23;Bibliothek Werner Oechslin, Einsiedeln; Stiftung Bibliothek Werner Oechslin, Einsiedeln;Luegeten ;11;;8840;Einsiedeln;ch;info@bibliothek-oechslin.ch;Heinrich;Monika;Frau;monika.heinrich@gta.arch.ethz.ch;g;;ja;CHOCH;8097;direkt;Anzahl Aufnahmen;ja;125;250;250;;ja;;;;;;;;;;;;ja;;nein;;47.1251552, 8.7476266
E25;BFH - Architektur, Holz und Bau, Biel;BFH - Architektur, Holz und Bau, Biel;Solothurnstrasse ;102;;2500;Biel;ch;bibliothek.ahb@bfh.ch;Boschung;Sarah;Frau;sarah.boschung@bfh.ch;g;U5001_103;ja;CHBSB;8049;direkt;BfS-Zahlen;ja;230;460;460;;ja;;;;;;;;;;;;nein;BFK;nein;;
E27;HTW Chur;Hochschule für Technik und Wirtschaft Chur;Pulvermühlestrasse ;57;;7004;Chur;ch;bibliothek@htwchur.ch;;;;;g;U5003_101;ja;CHHTW;8042;Über Institution;BfS-Zahlen;ja;707;1413;1413;;ja;;;;;;;;;;;;nein;BFK;;;46.8529094, 9.5126143
E28;ETH Zürich - GESS-Bibliothek;GESS-Bibliothek, Zürich;Haldeneggsteig ;4;;8092;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Leitbibliothek;;;;;;;ja;;;;;;;;;;;;;;;;47.3803892, 8.5445045
E30;Uni Bern - Exakte Wissenschaften;Universität Bern, Bibliothek Exakte Wissenschaften;Sidlerstrasse ;5;;3012;Bern;ch;bewi@ub.unibe.ch;;;;;g;;ja;CHBEE;8050;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.9513886, 7.4386061
E32;Landesmuseum Zürich;Landesmuseum Zürich;Museumstrasse ;2;;8021;Zürich;ch;bibliothek@snm.admin.ch;Pedroia;Luciana;Frau;Doris.Haben@nationalmuseum.ch;g;;ja;CHLZU;8051;direkt;Anzahl Aufnahmen;ja;425;850;850;;ja;;;;;;;;;;;;ja;;nein;;47.3790236, 8.5410057
E33;ETH Zürich - Chemie Biologie Pharmazie;Informationszentrum Chemie Biologie Pharmazie, Zürich;Vladimir-Prelog-Weg  ;10;;8093;Zürich;ch;infodesk@chem.ethz.ch;;;;;g;;ja;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.4072248, 8.5085329
E34;Biblioteca SUPSI, Manno;Biblioteca SUPSI, Manno;Galleria ;2;;6928;Manno;ch;segreteria@supsi.ch;;;;;i;;ja;CHSPI;8052;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.0235733, 8.9166046
E39;FHNW - Pädagogik Solothurn; Pädagogische Hochschule FHNW PH Bibliothek, Solothurn;Obere Sternengasse ;7;;4502;Solothurn;ch;biblio.hepia@hesge.ch;Oberholzer;Mirjam;Frau;mirjam.oberholzer@fhnw.ch;g;U5005_109;ja;CHFNB;8048;direkt;BfS-Zahlen;ja;627;1254;1254;;ja;;;;;;;;;;;;nein;BFK;nein;;47.2128062, 7.5437432
E41;hepia - Site Genève;hepia - Site Genève;Rue de la Prairie ;4;;1202;Genève;ch;biblio.hepia@hesge.ch;Pernier;Sandrine;Frau;sandrine.pernier@hesge.ch;f;U5006_113;ja;CHNED;8053;direkt;BfS-Zahlen;ja;333;667;667;;ja;;;;;;;;;;;;nein;BFK;nein;;
E42;MeteoSchweiz, Zürich; Die Bibliothek der MeteoSchweiz , Zürich;Krähbühlstrasse ;58;;8044;Zürich;ch;;Wanner Stamm;Daria;Frau;daria.wannerstamm@meteoswiss.ch;g;;ja;CHMSZ;8054;direkt;Freiwilliger Beitrag;ja;50;100;100;;nein;MeteoSchweiz / Bibliothek;c/o DLZ FI EFD;;REF-1012-10431;3003;Bern;ch;Wanner;Daria;;;ja;;nein;;
E44;FHNW - Architektur, Bau und Geomatik, Muttenz;Fachhochschule Nordwestschweiz FHNW Hochschulbibliothek Muttenz;Gründenstrasse ;40;;4132;Muttenz;ch;bibliothek.muttenz@fhnw.ch;;;;;g;U5005_102;ja;CHFNB;8048;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;nein;BFK;;;47.5339211, 7.6385571
E45;Schweizerisches Institut für Kinder- und Jugendmedien, Zürich;Schweizerisches Institut für Kinder- und Jugendmedien-Bibliothek und Spyri-Archiv, Zürich;Georgengasse ;6;;8006;Zürich;ch;bibliothek@sikjm.ch;Pozzi;Chantal;Frau;chantal.pozzi@sikjm.ch;g;;ja;CHSIK;8056;direkt;recherchierte BfS-Zahlen;ja;107;213;213;;ja;;;;;;;;;;;;ja;;nein;;47.3845423, 8.539729
E46;ETH Zürich - Fluiddynamik;Institut für Fluiddynamik, ETH Zürich;Sonneggstrasse ;3;;8092;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3779518, 8.5477486
E48;FHNW - Life Sciences, Muttenz; Hochschulbibliothek Muttenz;Gründenstrasse ;40;;4132;Muttenz;ch;bibliothek.muttenz@fhnw.ch;;;;;g;;ja;;;Über Institution;;;;;;;ja;;;;;;;;;;;;;;;;47.5339211, 7.6385571
E50;FHNW - Bibliothek Olten;FHNW - Bibliothek Olten;Riggenbachstr. ;16;;4600;Olten;ch;bibliothek.olten@fhnw.ch;Hertner;Marianne;Frau;;g;U5005_101;ja;CHFNB;8048;direkt;BfS-Zahlen;ja;1238;2477;2477;;ja;;;;;;;;;;;;nein;BFK;nein;;
E51;ZHAW - Hochschulbibliothek Winterthur;ZHAW - Hochschulbibliothek Winterthur;Turbinenstrasse ;2;;8400;Winterthur;ch;winterthur.hsb@zhaw.ch;Giella;Wolfgang;Herr;wolfgang.giella@zhaw.ch;g;;ja;CHZPH;8055;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.4965808, 8.7189091
E52;ETH Zürich - GESS-Bibliothek;ETH Zürich - GESS-Bibliothek;Haldeneggsteig ;4;;8092;Zürich;ch;gessbib@library.ethz.ch;;;;;g;;ja;ETHKN;8044;Über Leitbibliothek;;;;;;;ja;;;;;;;;;;;;;;;;47.3803892, 8.5445045
E53;ETH Zürich - GESS-Bibliothek;;Haldeneggsteig ;4;;8092;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Leitbibliothek;;;;;;;ja;;;;;;;;;;;;;;;;
E56;BFH - Technik und Informatik, Biel;Bibliothek Biel;Quellgasse ;21;;2502;Biel;ch;biblio.ti-bi@bfh.ch;Zelger;Cornelia;Frau;cornelia.zelger@bfh.ch;g;U5001_101;ja;CHBSB;8049;direkt;BfS-Zahlen;ja;270;540;540;;ja;;;;;;;;;;;;nein;BFK;nein;;47.1423582, 7.2446924
E57;ZHAW - Hochschulbibliothek Wädenswil;Hochschulbibliothek Wädenswil;Grüental;;;8820;Wädenswil;ch;waedenswil.hsb@zhaw.ch;Giella;Wolfgang;Herr;wolfgang.giella@zhaw.ch;g;;ja;CHZPH;8055;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.2182224, 8.6791989
E59;BFH - Architektur, Holz und Bau / Technik und Informatik, Burgdorf;BFH Bern - Architektur, Holz und Bau / Technik und Informatik, Burgdorf;Pestalozzistr. ;20;;3400;Burgdorf;ch;biblio.ti-bu@bfh.ch;Zelger;Cornelia;Frau;cornelia.zelger@bfh.ch;g;U5001_102;ja;CHBSB;8049;direkt;BfS-Zahlen;ja;222;444;444;;ja;;;;;;;;;;;;nein;BFK;nein;;52.4791848, 9.8819185
E60;FHNW - Campusbibliothek Brugg-Windisch; Campusbibliothek Brugg-Windisch;Bahnhofstrasse ;6;;5210;Windisch;ch;bibliothek.windisch@fhnw.ch;Dahinden;Isabel;Frau;isabel.dahinden@fhnw.ch;g;U5005_105;ja;CHFNB;8048;direkt;BfS-Zahlen;ja;1682;3363;3363;;ja;;;;;;;;;;;;nein;BFK;nein;;47.4817164, 8.2113609
E61;Hochschule für Technik und Architektur Freiburg;Hochschule für Technik und Architektur Freiburg;Boulevard de Pérolles;80;;1705;Fribourg;ch;biblio.eia-fr@hefr.ch;Bieri;Barbara;Frau;Barbara.Bieri@hefr.ch;f;U5006_110;ja;CHNED;8053;direkt;BfS-Zahlen;ja;277;554;554;;ja;;;;;;;;;;;;nein;BFK;nein;;46.7928438, 7.1599295
E62;Haute école d'ingénierie et de gestion du canton de Vaud, Yverdon;Haute école d'ingénierie et de gestion du canton de Vaud, Yverdon;Route de Cheseaux ;1;;1401;Yverdon-les-Bains;ch;biblio@heig-vd.ch;Zuber;Tania;Frau;tania.zuber@heig-vd.ch;f;U5006_114;ja;CHNED;8053;direkt;BfS-Zahlen;ja;277;554;554;;ja;;;;;;;;;;;;nein;BFK;nein;;46.7793801, 6.6594976
E63;HES-SO Valais - Haute Ecole d'Ingénierie de Sion; HES-SO Valais/Wallis - Haute Ecole d'Ingénierie;Rte du Rawyl ;47;;1950;Sion;ch;biblio@hevs.ch;Villettaz;Karine;Frau;karine.villettaz@hevs.ch;f;U5006_115;ja;CHNED;8053;direkt;BfS-Zahlen;ja;99;199;199;;ja;;;;;;;;;;;;nein;BFK;nein;;46.2410476, 7.3604323
E64;ETH Zürich - Mathematik;ETH Zürich - Mathematik-Bibliothek;Rämistrasse ;101;;8092;Zürich;ch;mathbib@math.ethz.ch;;;;;g;;ja;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3765359, 8.5480928
E65;Zürcher Hochschule der Künste (ZHdK MIZ);Zürcher Hochschule der Künste - Medien- und Informationszentrum MIZ;Toni-Areal, Pfingstweidstrasse ;96;;8005;Zürich;ch;miz.info@zhdk.ch;Melissen;Jan;Herr;jan.melissen@zhdk.ch;g;U5007_107;ja;CHZHK;8116;direkt;BfS-Zahlen;ja;2063;4126;4126;;ja;;;;;;;;Welti;Simone;Frau;simone.welti@zhdk.ch;nein;BFK;nein;;47.3902399, 8.5112457
E67;hepia - Site Lullier, Jussy;hepia - Site Lullier, Jussy;Route de Presinge ;150;;1254;Jussy;ch;biblio.hepia@hesge.ch;Pernier;Sandrine;Frau;sandrine.pernier@hesge.ch;f;U5006_133;ja;CHNED;8053;direkt;BfS-Zahlen;ja;197;393;393;;ja;;;;;;;;;;;;nein;BFK;nein;;
E68;HE-Arc - Ingénierie, Neuchâtel;HE-ARC - Ingénierie, Neuchâtel;Espace de l'Europe ;11;;2000;Neuchâtel;ch;biblio-ing@he-arc.ch;Dervaux-Duquenne;Agnès;Frau;;f;U5006_117;ja;CHNED;8053;direkt;BfS-Zahlen;ja;144;288;288;;ja;;;;;;;;;;;;nein;BFK;nein;;46.9976485, 6.9387246
E71;BFH - Agrar-, Forst- und Lebensmittelwiss., Zollikofen;BFH Bern - Agrar-, Forst- und Lebensmittelwiss., Zollikofen;Länggasse ;85;;3052;Zollikofen;ch;biblio.hafl@bfh.ch;Zimmer;David;Herr;david.zimmer@bfh.ch;g;U5001_109;ja;CHBSB;8049;direkt;BfS-Zahlen;ja;311;623;623;;ja;;;;;;;;;;;;nein;BFK;nein;;46.9918182, 7.4680395
E72;ETH Zürich - Informatik-Bibliothek;ETH Zürich - Informatik-Bibliothek;Haldeneggsteig ;4;;8092;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3803892, 8.5445045
E73;ETH Zürich - Thomas-Mann-Archiv;;Schönberggasse ;15;;8001;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;
E74;Ecole hôtelière de Lausanne;Ecole hôtelière de Lausanne;Route de Cojonnex ;18;;1000;Lausanne;ch;bibliotheque@ehl.ch;Walker;Christine;Frau;christine.walker@ehl.ch;f;U5006_120;ja;CHNED;8053;direkt;BfS-Zahlen;ja;329;658;658;;ja;;;;;;;;;;;;nein;BFK;nein;;46.5607718, 6.6828574
E75;FHNW - Mediathek HGK, Münchenstein;Fachhochschule Nordwestschweiz, Hochschule für Gestaltung und Kunst, Mediathek;Freilager-Platz ;1;;4142;Münchenstein;ch;mediathek.hgk@fhnw.ch;Lurk;Tabea;Frau;tabea.lurk@fhnw.ch;g;U5005_103;ja;CHFNB;8048;direkt;BfS-Zahlen;ja;298;595;595;;ja;;;;;;;;;;;;nein;BFK;nein;;47.5329654, 7.6101048
E76;ETH Zürich - Graphische Sammlung;Graphische Sammlung der ETH, Zürich;Rämistrasse ;101;;8092;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3765359, 8.5480928
E79;ETH Zürich - Geschichte und Theorie der Architektur;Institut für Geschichte und Theorie der Architektur (gta);Wolfgang Pauli-Strasse ;15;;8093;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.4083349, 8.5069345
E83;EPFL Lausanne - Swiss Plasma Center (SPC);Swiss Plasma Center EPFL;EPFL SB CRPP, Station ;13;;1015;Lausanne;ch;;;;;;f;;ja;EPFLB;8041;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.5196535, 6.6322734
E85;ZHAW - Soziale Arbeit, Dübendorf;ZHAW - Soziale Arbeit, Dübendorf;Auenstrasse ;10;;8600;Dübendorf;ch;;;;;;g;;ja;;;Über Institution;;;;;;;ja;;;;;;;;;;;;;;;;
E87;ZHAW - Linguistik, Winterthur (geschlossen) -x;ZHAW Bibliothek Linguistik;Theaterstrasse;15c;;8401;Winterthur;ch;;;;;;g;;ja;;;Keine Verrechnung;;;;;;0 Treffer;ja;;;;;;;;;;;;;;;;
E88;infoDoc RADIX, Zürich;infoDoc RADIX, Zürich;Stampfenbachstrasse ;161;;8006;Zürich;ch;infodoc@radix.ch;Morosoli;Diego;Herr;morosoli@radix.ch;g;;ja;CHIDG;8057;direkt;Freiwilliger Beitrag;ja;50;0;0;Bibliothek schliesst 2018, Keine Vereinbarung senden;ja;;;;;;;;;;;;ja;;nein;;47.3877229, 8.5392719
E92;EPFL Lausanne - Laboratoires;EPFL Lausanne - Laboratoires;Rolex Learning Center, Station ;20;;1015;Lausanne;ch;;;;;;f;;ja;EPFLB;8041;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;46.5196535, 6.6322734
E95;Schweizerische Nationalbank, Zürich;Bibliotheken der Schweizerischen Nationalbank, Zürich;Fraumünsterstrasse ;8;;8001;Zürich;ch;library@snb.ch;Simonin;Agnes;Frau;agnes.simonin@snb.ch;g;;ja;CHSNB;8058;direkt;Anzahl Aufnahmen;ja;250;500;500;;ja;;;;;;;;;;;;ja;;nein;;47.367939, 8.5413041
E97;ZHAW - Hochschulbibliothek Zürich;ZHAW - Hochschulbibliothek Zürich;Toni-Areal, Pfingstweidstrasse ;96;;8005;Zürich;ch;zuerich.hsb@zhaw.ch;Giella;Wolfgang;Herr;wolfgang.giella@zhaw.ch;g;;ja;CHZPH;8055;Über Institution;BfS-Zahlen;;;;;;ja;;;;;;;;;;;;;;;;47.3902399, 8.5112457
E98;ETH Zürich - GESS-Bibliothek;ETH Zürich - GESS-Bibliothek;Haldeneggsteig ;4;;8092;Zürich;ch;;;;;;g;;ja;ETHKN;8044;Über Leitbibliothek;;;;;;;ja;;;;;;;;;;;;;;;;47.3803892, 8.5445045
E99;Hochschule für Technik Rapperswil (HSR);HSR Hochschule für Technik Rapperswil Bibliothek;Oberseestrasse ;10;;8640;Rapperswil;ch;bibliothek@hsr.ch;Müller;Elisabeth;Frau;elisabeth.mueller@hsr.ch;g;U5003_103;ja;CHHTW;8042;direkt;BfS-Zahlen;ja;454;907;907;;ja;;;;;;;;;;;;nein;BFK;nein;;47.2230647, 8.8165114
ebramuz;Bibliothèque scolaire EPS Ramuz et EP Entre-Bois, Lausanne;Bibliothèque scolaire EPS C.F. Ramuz et EP Entre-Bois;Chemin d'Entre-Bois ;10;;1018;Lausanne;ch;;Tissot;Lucille;Frau;lucille.tissot@lausanne.ch;f;;nein;;;direkt;Anzahl Aufnahmen;nein;50;100;100;;ja;;;;;;;;;;;;ja;;nein;;
echa;Centre de documentation scolaire et Bibliothèque régionale d'Echallens;CDSC et BRE, Echallens;Ch. du Grand-Record;50B;;1040;Echallens;ch;bibliotheque.cdsc@vd.ch;;;;;f;U6562;nein;;;direkt;BfS-Zahlen;nein;273;546;546;;ja;;;;;;;;;;;;ja;;nein;;
ECOD;e-codices - Virtuelle Handschriftenbibliothek der Schweiz;e-codices;Rue de l'Hôpital ;4;;1704;Fribourg;ch;;;;;;g;;nein;;;Keine Verrechnung;;;;;;;ja;;;;;;;;;;;;;;;;46.8058481, 7.1541662
